subject,body,category
Internship Drive: Infosys Springboard — Form closes today,Eligible 3rd/4th year students must submit the registration form before the deadline today 5 PM. Resume upload mandatory.,placement
Pre-placement talk today 4 PM Seminar Hall,Attendance is being tracked for all pre-final year students. Carry your ID card.,placement
Aptitude mock test registration opens,Slot booking for HirePro mock aptitude round opens at 9 AM. Limited slots per batch.,placement
Campus recruitment: TCS Digital,TCS is visiting campus for placement drive. Register by Sunday midnight. Eligible branches: CSE IT ECE.,placement
Off-campus opportunity: Amazon SDE intern,Amazon is hiring SDE interns. Apply through the portal by Friday. Share with eligible students.,placement
Offer letter distribution,Students who received offer letters from the drive last week please collect from TPO office.,placement
Resume shortlist announced,Shortlisted candidates for the Wipro drive please report to seminar hall tomorrow 10 AM.,placement
Assignment 4 evaluation sheet uploaded,Feedback on your automata conversion submission is now available on the shared drive.,faculty
Extra class on Thursday,Due to syllabus completion pressure extra class scheduled Thursday 3 PM in lab 3.,faculty
Quiz postponed to next week,The unit test originally scheduled for Friday has been moved to next Monday due to faculty meeting.,faculty
Lab attendance sheet,Please check your lab attendance on the portal and report discrepancies to the TA by tomorrow.,faculty
Project submission deadline extended,The mini project submission deadline has been extended to 15th August due to multiple requests.,faculty
Internal marks uploaded,Internal assessment marks for all subjects have been uploaded. Check your portal.,faculty
Mid-sem timetable revised,Two lab sessions have been swapped due to faculty availability. Revised PDF attached.,department
Library timings extended during exam week,Reading room will stay open till 11 PM from Aug 18 to Aug 30.,department
Holiday declared on Thursday,College will remain closed on Thursday on account of a state holiday.,department
Seminar hall booking procedure,For booking seminar hall for events please fill the online form 3 days in advance.,department
Fee payment reminder,Last date for fee payment is August 20. Students who have not paid will face examination hall ticket issues.,department
Anti-ragging workshop mandatory attendance,All first year students must attend the mandatory anti-ragging workshop on Friday 2 PM.,department
Sports day registration open,Annual sports day registrations are open. Interested students register before Friday.,department
Guaranteed Internship Certificate Limited Seats,Pay a small fee to unlock your guaranteed internship certificate today. Offer expires in 2 hours.,spam
100% placement course enroll now,Join our placement preparation course with 100% job guarantee. Limited seats. Register now with small fee.,spam
Online certificate course discount,Get certified in Python and AI with our exclusive discount. Enroll before Sunday and get 50% off.,spam
Free webinar but pay for certificate,Attend our free webinar on data science. Certificate available for just Rs 499. Click here to claim.,spam
Guaranteed job in 3 months,Our training program guarantees a job in 3 months. Pay Rs 5000 and get started today.,spam
Data science bootcamp limited offer,Join our data science bootcamp. Money back guarantee if no placement in 6 months. Offer expires soon.,spam
Internship from home no experience required,Work from home internship no experience needed earn up to 15000 per month. Register now for free.,spam
Fake TPO announcement apply now,New internship drive announced apply through our portal and pay processing fee of Rs 200.,spam
